home,home_lat,home_lon,other,o_lat,o_lon,reach,flights
EDDF,50.026706,8.55835,KRDU,35.878659,-78.7873,Intercontinental,2
EDDF,50.026706,8.55835,KSEA,47.447943,-122.310276,Intercontinental,4
EDDF,50.026706,8.55835,KSFO,37.619806,-122.374821,Intercontinental,7
EDDF,50.026706,8.55835,KSTL,38.748697,-90.370003,Intercontinental,2
EDDF,50.026706,8.55835,KTPA,27.9755,-82.533203,Intercontinental,2
EDDF,50.026706,8.55835,LBBG,42.569917,27.515173,Europe,1
EDDF,50.026706,8.55835,LBLS,42.632465,23.650102,Europe,1
EDDF,50.026706,8.55835,LBSB,42.726582,27.624472,Europe,1
EDDF,50.026706,8.55835,LBSF,42.696357,23.417671,Europe,8
EDDF,50.026706,8.55835,LCLK,34.875099,33.624901,Intercontinental,2
EDDF,50.026706,8.55835,LDRG,45.379501,14.5038,Europe,1
EDDF,50.026706,8.55835,LDZA,45.742901,16.0688,Europe,6
EDDF,50.026706,8.55835,LDZI,45.719874,16.343272,Europe,1
EDDF,50.026706,8.55835,LDZL,45.766725,15.849709,Europe,2
EDDF,50.026706,8.55835,LEAL,38.2822,-0.558156,Europe,2
EDDF,50.026706,8.55835,LEAS,43.563599,-6.03462,Europe,1
EDDF,50.026706,8.55835,LEBL,41.2971,2.07846,Europe,16
EDDF,50.026706,8.55835,LEIB,38.872898,1.37312,Europe,4
EDDF,50.026706,8.55835,LEJR,36.744598,-6.06011,Europe,1
EDDF,50.026706,8.55835,LEMD,40.493407,-3.572249,Europe,18
EDDF,50.026706,8.55835,LEMG,36.6749,-4.49911,Europe,6
EDDF,50.026706,8.55835,LEPA,39.551701,2.73881,Europe,20
EDDF,50.026706,8.55835,LEST,42.896301,-8.41514,Europe,2
EDDF,50.026706,8.55835,LEVC,39.489162,-0.480961,Europe,5
EDDF,50.026706,8.55835,LFHC,45.869701,5.18722,Europe,1
EDDF,50.026706,8.55835,LFKB,42.5527,9.48373,Europe,2
EDDF,50.026706,8.55835,LFLL,45.725996,5.090139,Europe,5
EDDF,50.026706,8.55835,LFML,43.438088,5.2125,Europe,4
EDDF,50.026706,8.55835,LFMN,43.658401,7.21587,Europe,8
EDDF,50.026706,8.55835,LFPG,49.00896,2.554117,Europe,25
EDDF,50.026706,8.55835,LFRS,47.153198,-1.61073,Europe,2
EDDF,50.026706,8.55835,LGAV,37.936401,23.9445,Europe,15
EDDF,50.026706,8.55835,LGIR,35.339699,25.1803,Europe,1
EDDF,50.026706,8.55835,LGKO,36.794523,27.09115,Intercontinental,4
EDDF,50.026706,8.55835,LGKV,40.9133,24.6192,Europe,2
EDDF,50.026706,8.55835,LGRP,36.405399,28.086201,Intercontinental,6
EDDF,50.026706,8.55835,LGSA,35.531207,24.150673,Europe,2
EDDF,50.026706,8.55835,LGTS,40.51928,22.970009,Europe,6
EDDF,50.026706,8.55835,LGZA,37.7509,20.8843,Europe,2
EDDF,50.026706,8.55835,LHBP,47.43018,19.262393,Europe,17
EDDF,50.026706,8.55835,LICA,38.906214,16.246007,Europe,2
EDDF,50.026706,8.55835,LICC,37.466801,15.0664,Europe,1
EDDF,50.026706,8.55835,LICZ,37.401699,14.9224,Europe,2
EDDF,50.026706,8.55835,LIEO,40.898953,9.518457,Europe,1
EDDF,50.026706,8.55835,LIMC,45.6306,8.72811,Europe,14
EDDF,50.026706,8.55835,LIMF,45.200802,7.64963,Europe,3
EDDF,50.026706,8.55835,LIML,45.445099,9.27674,Europe,14
EDDF,50.026706,8.55835,LIPE,44.5354,11.2887,Europe,5
EDDF,50.026706,8.55835,LIPQ,45.827862,13.466672,Europe,2
EDDF,50.026706,8.55835,LIPX,45.394955,10.887303,Europe,2
EDDF,50.026706,8.55835,LIPZ,45.505299,12.3519,Europe,11
EDDF,50.026706,8.55835,LIRF,41.804532,12.251998,Europe,24
EDDF,50.026706,8.55835,LIRN,40.886002,14.2908,Europe,1
EDDF,50.026706,8.55835,LIRP,43.683899,10.3927,Europe,2
EDDF,50.026706,8.55835,LIRQ,43.808558,11.202822,Europe,7
EDDF,50.026706,8.55835,LJLJ,46.223701,14.4576,Europe,6
EDDF,50.026706,8.55835,LKPR,50.100874,14.259911,Europe,16
EDDF,50.026706,8.55835,LLBG,32.011398,34.8867,Intercontinental,8
EDDF,50.026706,8.55835,LMML,35.845932,14.491546,Europe,5
EDDF,50.026706,8.55835,LOLW,48.182513,14.039283,Europe,2
