queried_airport,direction,icao24,callsign,dep_airport,arr_airport,firstSeen,lastSeen,home,other,ts,hour,al_icao,airline,lh_group,o_country,o_continent,reach,o_lat,o_lon,home_lat,home_lon,dist_km
EDDF,departure,4bcda6,SXS2BB,EDDF,LTAI,1787168328.0,1787178930,EDDF,LTAI,1787168328.0,21,SXS,SunExpress,False,TR,AS,Intercontinental,36.898701,30.800501,50.026706,8.55835,2298.2344363312995
EDDF,departure,40838d,BAW909,EDDF,EGLL,1787168230.0,1787172318,EDDF,EGLL,1787168230.0,21,BAW,British Airways,False,GB,EU,Europe,51.470748,-0.459909,50.026706,8.55835,654.0165397367234
EDDF,departure,3c6583,DLH9AT,EDDF,LJLJ,1787168114.0,1787171469,EDDF,LJLJ,1787168114.0,21,DLH,Lufthansa,True,SI,EU,Europe,46.223701,14.4576,50.026706,8.55835,608.373527362607
EDDF,departure,3009b4,DLH4WN,EDDF,LIMF,1787168111.0,1787172304,EDDF,LIMF,1787168111.0,21,DLH,Lufthansa,True,IT,EU,Europe,45.200802,7.64963,50.026706,8.55835,540.9103631086111
EDDF,departure,3c65c7,DLH884,EDDF,EETN,1787168053.0,1787174192,EDDF,EETN,1787168053.0,21,DLH,Lufthansa,True,EE,EU,Europe,59.413246,24.83264,50.026706,8.55835,1469.6340797106222
EDDF,departure,3c6422,CFG8FN,EDDF,LEBL,1787168034.0,1787174490,EDDF,LEBL,1787168034.0,21,CFG,Condor Flugdienst,False,ES,EU,Europe,41.2971,2.07846,50.026706,8.55835,1092.5416501874115
EDDF,departure,3c6662,DLH48F,EDDF,,1787167946.0,1787173628,EDDF,,1787167946.0,21,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c65c6,DLH338,EDDF,,1787167939.0,1787173528,EDDF,,1787167939.0,21,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c64ae,DLH44C,EDDF,LPPR,1787167853.0,1787176897,EDDF,LPPR,1787167853.0,21,DLH,Lufthansa,True,PT,EU,Europe,41.2481002808,-8.68138980865,50.026706,8.55835,1651.6233885914048
EDDF,departure,4ca215,EIN65T,EDDF,EIDW,1787167774.0,1787174332,EDDF,EIDW,1787167774.0,21,EIN,Aer Lingus,False,IE,EU,Europe,53.428713,-6.262121,50.026706,8.55835,1086.1211676842795
